지역,단지,세대수,주소,위도,경도
이천시,이천마장 행복주택 3단지,290,경기도 이천시 마장면 양촌로30번길 29,37.25594966099733,127.35627978465666
파주시,가람마을,580,경기도 파주시 소리천로 203,37.73036766176477,126.76816479245664
파주시,초롱꽃마을11단지,242,경기도 파주시 양지로 112,37.708170112586046,126.72139205963978
파주시,파주법원,250,경기도 파주시 법원읍 법원로 12,37.847184093364575,126.87763369673922
파주시,파주출판 C76BL,280,경기도 파주시 문발로 430,37.73169423035201,126.69232551941653
파주시,노을빛마을 16단지,320,경기도 파주시 노을빛로 41,37.72692206793868,126.70674563163396
파주시,초롱꽃마을3단지,1207,경기도 파주시 초롱꽃로 17,37.714249182508546,126.70825862797102
파주시,산내마을,1700,경기도 파주시 교하로 20,37.73314792544996,126.7333744972047
파주시,파주운정3 A25BL(초롱꽃10),1000,경기도 파주시 숲속노을로 60,37.70843444091453,126.71982607753665
평택시,고덕LH17단지,298,경기도 평택시 고덕여염로 20,37.0373231652906,127.04611200805405
평택시,평택고덕 A-6블록 행복주택(LH2단지),1600,경기도 평택시 고덕국제대로 232,37.05771476938939,127.04539917242526
평택시,소사벌 배다리마을5단지,840,경기도 평택시 죽백4로 60,37.00510374516671,127.12360438596474
평택시,평택고덕 A-7블록 신혼희망타운 행복주택,295,경기도 평택시 고덕국제대로 202,37.05648707727519,127.0453450376926
평택시,청북LHB12단지,326,경기도 평택시 청북읍 안청로1길 21,37.014224502047085,126.91421437532986
포천시,non,0,non,0,0
하남시,하남감일 스윗시티 행복주택 6단지,672,경기도 하남시 감일순환로 130,37.51224765150221,127.16011576940979
하남시,위례A3-3bBL 행복주택,167,경기도 하남시 위례학암로 30,37.4868325380497,127.15845026855085
하남시,하남감일 7단지(행복주택) A2블록,425,경기도 하남시 감일순환로 140,37.51154973589835,127.15984847724359
하남시,하남감일 A7BL 행복주택,170,경기도 하남시 감일순환로 40,37.50807533321906,127.1638901086557
하남시,위례A3-3bBL 행복주택,1,경기도 하남시 위례학암로 30,37.48684152534921,127.15846724798304
하남시,미사강변도시C3단지,1492,경기도 하남시 미사강변한강로 290,37.56356427100614,127.19584500809832
화성시,"화성봉담2(LH4단지)(행복,임대상가)",602,경기도 화성시 봉담읍 상리3길 111,37.22908610853312,126.95119665813586
화성시,엘크루 루엘리안,152,경기도 화성시 봉담읍 상리2길 121,37.229141517229195,126.94405246659923
화성시,"화성남양뉴타운(LH6단지)(행복,임대상가)",410,경기도 화성시 남양읍 남양로862번길 16,37.21252257434132,126.83427283576246
화성시,남양뉴타운 B-9블록 행복주택,880,경기도 화성시 남양읍 남양중앙로 420,37.20276465980289,126.8411823847242
화성시,화성동탄2 A57-1블록 행복주택,850,경기도 화성시 동탄신리천로8길 15,37.1756369804969,127.14225866290296
