철도운영기관명,선명,역명,지번주소,도로명주소,x,y,lng,lat
서울교통공사,3호선,수서,서울특별시 강남구 수서동 728 수서역(3호선),서울특별시 강남구 광평로 270(수서동),964801.589976861,1943201.35759705,127.10185103077721,37.487386321747714
서울교통공사,3호선,신사,서울특별시 강남구 신사동 667 신사역(3호선),서울특별시 강남구 도산대로 102(신사동),957609.770386996,1946456.86801844,127.02031502299779,37.5164272165963
서울교통공사,3호선,안국,서울특별시 종로구 안국동 73-1 안국역(3호선),서울특별시 종로구 율곡로 62(안국동),954617.155658684,1953173.28894564,126.98603653172431,37.5768214965383
서울교통공사,3호선,압구정,서울특별시 강남구 신사동 668 압구정역(3호선),서울특별시 강남구 압구정로 172(신사동),958312.634976648,1947605.13626016,127.02820317596353,37.52680896683285
서울교통공사,3호선,약수,서울특별시 중구 신당동 369-44 약수역(3호선),서울특별시 중구 다산로 122(신당동),956791.97774824,1950693.1936711,127.01081188265469,37.55457247485052
서울교통공사,3호선,양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역(3호선),서울특별시 서초구 남부순환로 2585(서초동),958873.936120214,1942825.95952766,127.03482286876128,37.48375772948258
서울교통공사,3호선,연신내,서울특별시 은평구 갈현동 397 연신내역(3호선),서울특별시 은평구 통일로 849(갈현동),948917.51352481,1957881.91149478,126.92116190606612,37.61896190154113
서울교통공사,3호선,오금,서울특별시 송파구 오금동 44-2 오금역(3호선),서울특별시 송파구 오금로 321(오금동),967108.934577334,1944843.03680738,127.12787676662398,37.50226864266777
서울교통공사,3호선,옥수,서울특별시 성동구 옥수동 168-1 옥수역(3호선),서울특별시 성동구 동호로 21(옥수동),957504.434635319,1949182.32126483,127.01896536085478,37.54098770955187
서울교통공사,3호선,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),서울특별시 중구 을지로 129(을지로3가),955194.820067598,1951999.91348506,126.99265012792694,37.56627392686847
서울교통공사,3호선,일원,서울특별시 강남구 일원동 717 일원역(3호선),서울특별시 강남구 일원로 121(일원동),963258.973203913,1942841.12149397,127.08442002451447,37.48407925945801
서울교통공사,3호선,잠원,서울특별시 서초구 잠원동 100-1 잠원역(3호선),서울특별시 서초구 잠원로4길 46(잠원동),956807.346067471,1946060.73192555,127.01125842840932,37.5128194921392
