지역,단지,세대수,주소,위도,경도,x,y,lng,lat
고양시 덕양구,삼송11단지,832,경기도 고양시 덕양구 원흥1로 25,37.6509919639056,126.86549133602188,944033.138639635,1961509.74797967,126.86553992055592,37.651374787439885
고양시 덕양구,고양지축 A-1블록 신혼희망타운 행복주택,250,경기도 고양시 덕양구 오부자로 99,37.65333071627472,126.92103741284238,948927.188681021,1961563.84052786,126.92101409005757,37.65214765835061
고양시 덕양구,고양지축 A-4BL 행복주택,473,경기도 고양시 덕양구 오부자로 43,37.65403825740302,126.91494556350136,948402.245221731,1961752.3222608,126.91505003621256,37.65381707990528
고양시 덕양구,고양삼송 LH원흥마을13단지,947,경기도 고양시 덕양구 원흥1로 35,37.65263107072943,126.8688879977526,944239.664818954,1961599.57409593,126.86787418056852,37.65219694808784
고양시 덕양구,서정마을LH12단지,276,경기도 고양시 덕양구 서정마을2로 17,37.62121525678347,126.8476478856895,942442.99302673,1958197.02299515,126.84777557187849,37.62141929542949
고양시 덕양구,고양삼송 LH10단지,777,경기도 고양시 덕양구 원흥1로 31,37.65160109814829,126.86634579610433,944170.902852399,1961525.22672481,126.86710039275566,37.65152268443257
고양시 덕양구,고양향동 A-4블록 행복주택,498,경기도 고양시 덕양구 향기5로 65,37.60764879062772,126.89537744307428,946607.628288488,1956603.17108257,126.89508225826955,37.60730533508141
고양시 덕양구,고양지축 행복주택 A-3,890,경기도 고양시 덕양구 오부자로 150,37.647316256183686,126.9204432239024,948805.330610721,1961061.53376051,126.91966794393433,37.647613592594965
구리시,구리수택 행복주택,394,경기도 구리시 체육관로74번길 67,37.59136082830985,127.14162519379504,968353.955563518,1954729.82840094,127.14153596307399,37.591425963599
김포시,김포한강1단지(행복Aa-12),443,경기도 김포시 허산길 50,37.63710579930954,126.66675971935432,926679.945407495,1959963.75512528,126.66898997980809,37.636219560135395
김포시,김포마송 B-5블록 행복주택,500,경기도 김포시 통진읍 율마로438번길 51,37.68840196066348,126.60649852691942,921223.662064281,1965758.97895639,126.60652927093291,37.68799621724512
김포시,김포양곡 E-1블록 행복주택,990,경기도 김포시 양촌읍 양곡2로80번길 61,37.65874621152147,126.6315478918963,923364.390055059,1962506.14970236,126.63114843457723,37.65886198997219
김포시,김포마송 B-3블록 행복·영구임대주택,450,경기도 김포시 통진읍 율마로450번길 51,37.689339011561735,126.60651058210466,921276.077611753,1965943.18982528,126.60710378940989,37.68966087959883
김포시,곡촌마을,362,경기도 김포시 양촌읍 양곡4로197번길 11,37.66062961522417,126.6302239296808,923207.285416779,1962668.54462711,126.62935036586838,37.66031242226053
김포시,김포장기11단지(행복B-11),196,경기도 김포시 김포한강3로237번길 33,37.636993976328405,126.66386549486998,926205.175972096,1960117.40781346,126.66359393976553,37.63756633206037
김포시,한가람마을,1500,경기도 김포시 김포한강4로 564,37.64669182466372,126.62040098508928,922515.022020437,1961063.68143268,126.62167294891145,37.645790611282806
남양주시,남양주별내 A1-2 행복주택리츠,1220,경기도 남양주시 덕송3로 30,37.669932310990966,127.11359066344797,965989.835406466,1963379.57415725,127.11435476956365,37.66930403054082
남양주시,LH퍼스트포레,128,경기도 남양주시 순화궁로 458-16,37.72839340628221,127.19378267534393,966627.027127086,1963088.68840431,127.12159312681842,37.66670561721735
남양주시,남양주장현 행복주택 2단지,870,경기도 남양주시 진접읍 금강로 1530-33,37.66698024605811,127.1217241511931,973023.532700913,1969958.0588912,127.19386578023855,37.728831247034464
남양주시,별가람마을 1-8단지,872,경기도 남양주시 순화궁로 458-58,37.66729855180756,127.12320946321908,966740.698917835,1963166.04756043,127.12287846606824,37.66740699979077
남양주시,남양주금곡 행복주택,352,경기도 남양주시 경춘로 899,37.633147601959294,127.20126151740816,,,,
남양주시,다산해모로,24,경기도 남양주시 미금로19번길 9,37.60585856351459,127.1518508022544,969294.226180599,1956359.03138363,127.15211813738867,37.606142403822524
동두천시,동두천송내 S1BL 행복주택,260,경기도 동두천시 이담로 10,37.88821049993498,127.04879462783246,960337.291636314,1987648.41339188,127.04893443548524,37.88781115826255
부천시,부천중동1 행복주택,26,경기도 부천시 중동로 88,37.48758861657998,126.76527909867858,935052.914439493,1943410.71821805,126.7653481086464,37.48766013538759
