정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB210000294,부천교육지원청.부천세무서,37.5070833,126.7733833,2.02E+13,11209,31050,부천시,경기도
GGB210000295,부천세무서,37.5075167,126.77475,2.02E+13,11223,31050,부천시,경기도
GGB210000296,손가면옥,37.5117833,126.7748833,2.02E+13,11225,31050,부천시,경기도
GGB210000297,역곡자치회관입구,37.4842833,126.8064167,2.02E+13,11381,31050,부천시,경기도
GGB210000298,역곡역북부,37.48565,126.8105833,2.02E+13,11391,31050,부천시,경기도
GGB210000299,역곡상상시장,37.4875167,126.8106833,2.02E+13,11389,31050,부천시,경기도
GGB210000300,양문교회,37.4891833,126.8098167,2.02E+13,11388,31050,부천시,경기도
GGB210000301,역곡초.중.고등학교,37.4912,126.8088667,2.02E+13,11384,31050,부천시,경기도
GGB210000302,밤골.산울림청소년센터,37.4979167,126.80845,2.02E+13,11383,31050,부천시,경기도
GGB210000303,밤골.산울림청소년센터,37.4986167,126.8089167,2.02E+13,11386,31050,부천시,경기도
GGB210000304,역곡안동네,37.4935833,126.8087667,2.02E+13,11385,31050,부천시,경기도
GGB210000305,역곡초.중.고등학교,37.4906667,126.8093667,2.02E+13,11387,31050,부천시,경기도
GGB210000306,농협사거리,37.4878333,126.8107,2.02E+13,11409,31050,부천시,경기도
GGB210000307,역곡역북부,37.4855167,126.8107667,2.02E+13,11390,31050,부천시,경기도
GGB210000308,역곡자치회관입구,37.4844667,126.8074667,2.02E+13,11382,31050,부천시,경기도
GGB210000309,가톨릭대학교입구.보람쉬움아파트,37.4836333,126.8049833,2.02E+13,11380,31050,부천시,경기도
GGB210000310,대진아파트,37.4831667,126.8025667,2.02E+13,11376,31050,부천시,경기도
GGB210000311,금강맨션,37.4838667,126.7996,2.02E+13,11372,31050,부천시,경기도
GGB210000312,소사역7번출구.대화아파트,37.4841167,126.7948333,2.02E+13,11362,31050,부천시,경기도
GGB210000313,세일병원입구,37.4900667,126.7828167,2.02E+13,11285,31050,부천시,경기도
GGB210000314,부천대후문,37.4905,126.7799167,2.02E+13,11270,31050,부천시,경기도
GGB210000315,심곡초등학교,37.4909333,126.7768333,2.02E+13,11245,31050,부천시,경기도
GGB210000316,부천상공회의소,37.4913167,126.7742333,2.02E+13,11218,31050,부천시,경기도
GGB210000317,부천중학교,37.4917333,126.7713333,2.02E+13,11202,31050,부천시,경기도
GGB210000318,팰리스카운티.부천중학교,37.4921833,126.7680667,2.02E+13,11170,31050,부천시,경기도
GGB210000320,복사골마을,37.4945167,126.7673833,2.02E+13,11164,31050,부천시,경기도
GGB210000321,상동시장.중동시장,37.4927167,126.7644333,2.02E+13,11143,31050,부천시,경기도
GGB210000323,상일초교,37.5008167,126.74965,2.02E+13,11033,31050,부천시,경기도
GGB210000324,상동역4번출구.상동지하차도,37.5056,126.7515,2.02E+13,11042,31050,부천시,경기도
GGB210000326,상동가구,37.4932333,126.7419833,2.02E+13,11003,31050,부천시,경기도
GGB210000327,상동역1번출구.부천터미널소풍.홈플러스,37.5054833,126.7551,2.02E+13,11065,31050,부천시,경기도
GGB210000328,상동역2번출구.홈플러스상동점,37.50445,126.7530167,2.02E+13,11053,31050,부천시,경기도
GGB210000329,신중동행정복지센터.고용노동지청,37.5063833,126.76335,2.02E+13,11138,31050,부천시,경기도
GGB210000330,아인스월드,37.5112833,126.7441167,2.02E+13,11012,31050,부천시,경기도
GGB210000332,상인초등학교.금강아파트,37.512,126.7549833,2.02E+13,11081,31050,부천시,경기도
GGB210000333,진달래공원,37.5094833,126.75525,2.02E+13,11082,31050,부천시,경기도
GGB210000334,석천중학교.진달래신동아아파트,37.5091833,126.7575333,2.02E+13,11092,31050,부천시,경기도
GGB210000335,부천터미널소풍,37.50445,126.7584,2.02E+13,11100,31050,부천시,경기도
GGB210000337,상동중학교,37.4972167,126.74535,2.02E+13,11016,31050,부천시,경기도
GGB210000338,약대초등학교입구,37.5134,126.7749667,2.02E+13,11226,31050,부천시,경기도
GGB210000339,부천역.국민은행,37.4862167,126.7815333,2.02E+13,11278,31050,부천시,경기도
GGB210000340,노마즈하우스.우리은행,37.4886333,126.78355,2.02E+13,11290,31050,부천시,경기도
GGB210000341,대성병원,37.4917333,126.78425,2.02E+13,11292,31050,부천시,경기도
GGB210000342,부천북초등학교.원미동우체국,37.49415,126.7848,2.02E+13,11301,31050,부천시,경기도
GGB210000343,부천동행정복지센터.원미어울마당,37.4975167,126.7855667,2.02E+13,11308,31050,부천시,경기도
GGB210000344,춘의테크노파크단지앞,37.5002667,126.7861833,2.02E+13,11313,31050,부천시,경기도
GGB210000345,춘의역6번출구,37.5046667,126.7866167,2.02E+13,11314,31050,부천시,경기도
GGB210000346,공구상가.부천천문과학관,37.5082333,126.78535,2.02E+13,11305,31050,부천시,경기도
GGB210000347,온세미,37.51095,126.7845333,2.02E+13,11299,31050,부천시,경기도
GGB210000348,도당주민지원센터,37.5156833,126.78455,2.02E+13,11295,31050,부천시,경기도
GGB210000349,도당중학교,37.51785,126.78455,2.02E+13,11296,31050,부천시,경기도
