지역,단지,세대수,주소,lng,lat
고양시 덕양구,삼송11단지,832,경기도 고양시 덕양구 원흥1로 25,126.86549133602188,37.6509919639056
고양시 덕양구,고양지축 A-1블록 신혼희망타운 행복주택,250,경기도 고양시 덕양구 오부자로 99,126.92103741284238,37.65333071627472
고양시 덕양구,고양지축 A-4BL 행복주택,473,경기도 고양시 덕양구 오부자로 43,126.91494556350136,37.65403825740302
고양시 덕양구,고양삼송 LH원흥마을13단지,947,경기도 고양시 덕양구 원흥1로 35,126.8688879977526,37.65263107072943
고양시 덕양구,서정마을LH12단지,276,경기도 고양시 덕양구 서정마을2로 17,126.8476478856895,37.62121525678347
고양시 덕양구,고양삼송 LH10단지,777,경기도 고양시 덕양구 원흥1로 31,126.86634579610433,37.65160109814829
고양시 덕양구,고양향동 A-4블록 행복주택,498,경기도 고양시 덕양구 향기5로 65,126.89537744307428,37.60764879062772
고양시 덕양구,고양지축 행복주택 A-3,890,경기도 고양시 덕양구 오부자로 150,126.9204432239024,37.647316256183686
구리시,구리수택 행복주택,394,경기도 구리시 체육관로74번길 67,127.14162519379504,37.59136082830985
김포시,김포한강1단지(행복Aa-12),443,경기도 김포시 허산길 50,126.66675971935432,37.63710579930954
김포시,김포마송 B-5블록 행복주택,500,경기도 김포시 통진읍 율마로438번길 51,126.60649852691942,37.68840196066348
김포시,김포양곡 E-1블록 행복주택,990,경기도 김포시 양촌읍 양곡2로80번길 61,126.6315478918963,37.65874621152147
김포시,김포마송 B-3블록 행복·영구임대주택,450,경기도 김포시 통진읍 율마로450번길 51,126.60651058210466,37.689339011561735
김포시,곡촌마을,362,경기도 김포시 양촌읍 양곡4로197번길 11,126.6302239296808,37.66062961522417
김포시,김포장기11단지(행복B-11),196,경기도 김포시 김포한강3로237번길 33,126.66386549486998,37.636993976328405
김포시,한가람마을,1500,경기도 김포시 김포한강4로 564,126.62040098508928,37.64669182466372
남양주시,남양주별내 A1-2 행복주택리츠,1220,경기도 남양주시 덕송3로 30,127.11359066344797,37.669932310990966
남양주시,LH퍼스트포레,128,경기도 남양주시 순화궁로 458-16,127.19378267534393,37.72839340628221
