시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
의정부시,금오상록아이파크,신곡동,767-2,2003-01-22,20,6,662,Y,경기도 의정부시 신곡동 767-2,962660.223020906,1972487.15961249,127.0761335036627,37.75126210618223
의정부시,금오세아,금오동,80-20,1992-12-31,20,2,250,Y,경기도 의정부시 금오동 80-20,962434.790275697,1973281.20402808,127.07353346600934,37.758409618674996
의정부시,금오신도브래뉴1차,금오동,370,2004-09-03,23,6,482,Y,경기도 의정부시 금오동 370,960808.667905637,1971986.94027576,127.05514293488615,37.7466761631029
의정부시,금오주공2단지,금오동,253-1,2005-08-05,15,4,463,N,경기도 의정부시 금오동 253-1,961305.700871679,1972846.03791405,127.06073878533984,37.75444038300237
의정부시,금오주공9단지,신곡동,790,2002-10-17,20,13,1450,N,경기도 의정부시 신곡동 790,963003.465910523,1972121.22310718,127.0800484053917,37.7479778529654
의정부시,금오주공그린빌1단지,금오동,468-1,2002-10-04,20,8,686,Y,경기도 의정부시 금오동 468-1,961481.576024295,1972387.52254438,127.06275960202684,37.75031520026197
의정부시,금오파스텔,금오동,78,1998-06-15,23,5,332,Y,경기도 의정부시 금오동 78,962478.981433217,1973407.67569637,127.07402860576448,37.75955132469208
의정부시,금오풍림아이원,신곡동,755-2,2005-02-24,20,6,606,Y,경기도 의정부시 신곡동 755-2,961466.75557642,1972096.99085185,127.06260678579632,37.74769600750076
의정부시,금오현대아이파크,금오동,469-4,2002-06-03,20,10,814,Y,경기도 의정부시 금오동 469-4,961820.247468717,1972540.55052375,127.06659587174488,37.75170864383676
의정부시,남성연립,가능동,15-14,1981-10-30,2,2,22,N,경기도 의정부시 가능동 15-14,960080.035072858,1972517.69005428,127.04684335842728,37.751428307494834
의정부시,노블리안 시티스타,의정부동,187-15,2019-06-05,19,1,261,Y,경기도 의정부시 의정부동 187-15,960259.885403945,1971615.91494469,127.04893422891273,37.74330843307634
의정부시,녹양LH 5단지,녹양동,404,2018-12-04,15,4,423,N,경기도 의정부시 녹양동 404,959632.616427312,1973828.05321867,127.04169172131637,37.76321895266552
의정부시,녹양대림,녹양동,373,2000-02-11,18,6,309,Y,경기도 의정부시 녹양동 373,958547.884386991,1973514.36737979,127.02939458139431,37.76034317824764
의정부시,녹양동원2차,녹양동,125-6,1995-05-15,9,2,162,Y,경기도 의정부시 녹양동 125-6,959235.498030605,1973078.24876672,127.03722530338118,37.756443364940154
의정부시,녹양동휴먼시아3단지,녹양동,401,2008-05-15,15,8,380,Y,경기도 의정부시 녹양동 401,959308.996471474,1973728.35177531,127.03802322318232,37.76230600085051
의정부시,녹양신도9차전원마을아파트,녹양동,374-1,2000-03-02,23,3,305,Y,경기도 의정부시 녹양동 374-1,958659.645079959,1973510.93384376,127.03066355571126,37.76031729157402
의정부시,녹양청구,녹양동,146-15,1994-12-26,18,3,409,Y,경기도 의정부시 녹양동 146-15,958794.921803096,1973135.48061023,127.03222061266408,37.756939449068696
의정부시,녹양현대,녹양동,80,1990-12-01,15,6,606,Y,경기도 의정부시 녹양동 80,959174.166760221,1973394.11040467,127.03651130601519,37.75928748243366
의정부시,녹양휴먼시아1단지,녹양동,409,2008-04-30,15,6,858,N,경기도 의정부시 녹양동 409,959332.029862956,1973496.96234076,127.03829768350684,37.760221518875994
의정부시,녹양휴먼시아2단지,녹양동,411-1,2008-04-30,15,4,315,N,경기도 의정부시 녹양동 411-1,959508.74891071,1973518.59285092,127.04030270392597,37.760424316796254
의정부시,녹양휴먼시아4단지,녹양동,405,2008-05-15,15,6,332,Y,경기도 의정부시 녹양동 405,959563.254500322,1973666.79715007,127.04091323208426,37.76176249073412
의정부시,녹양힐스테이트,녹양동,355,2006-08-25,25,15,1196,Y,경기도 의정부시 녹양동 355,958936.920246158,1973035.40295802,127.0338382564299,37.75604383882135
의정부시,대가트라움,의정부동,9-49,2020-08-25,19,1,64,N,경기도 의정부시 의정부동 9-49,960581.891182163,1971814.83110273,127.05257822463454,37.745115197381
의정부시,대광로제비앙,낙양동,736,2018-10-25,29,4,420,Y,경기도 의정부시 낙양동 736,965701.426574624,1973033.0693118,127.11062950405945,37.75630152329214
의정부시,대광로제비앙 더 퍼스트,산곡동,290-7,2020-04-13,25,9,722,Y,경기도 의정부시 산곡동 290-7,965719.156387279,1970290.50772952,127.11096018264377,37.731583248079794
의정부시,대봉주택(도시형),의정부동,167-14,2012-10-11,10,1,88,N,경기도 의정부시 의정부동 167-14,960091.343124845,1970549.52149355,127.04707982533553,37.73368967242235
의정부시,대상센트럴,의정부동,187-5,2018-05-02,20,1,51,N,경기도 의정부시 의정부동 187-5,960290.108295772,1971602.66886789,127.0492779847201,37.743190358214676
의정부시,대신연립,가능동,679-3,1982-03-11,3,3,42,N,경기도 의정부시 가능동 679-3,958922.604718163,1972077.91767249,127.03372990329977,37.747413398343696
의정부시,더샵파크에비뉴,가능동,224-44,2021-07-26,26,6,420,Y,경기도 의정부시 가능동 224-44,958712.174246407,1971489.38353895,127.03137482442457,37.74209947318695
의정부시,더포레지아,호원동,226-57,2020-08-26,4,6,48,N,경기도 의정부시 호원동 226-57,959873.790938228,1967212.89335137,127.0447949667937,37.70360697551034
의정부시,동남연립,가능동,626-17,1985-09-10,3,3,36,N,경기도 의정부시 가능동 626-17,959449.754164095,1972624.55634432,127.03968288664643,37.75236376716184
의정부시,동명연립,가능동,585,1987-01-27,3,5,72,N,경기도 의정부시 가능동 585,958010.706059327,1971607.81945273,127.02340642487526,37.74313501192068
의정부시,동원1차아파트,가능동,106-21,1993-07-15,21,2,406,Y,경기도 의정부시 가능동 106-21,959325.868465751,1973060.37416775,127.03825219487118,37.75628628534326
의정부시,동진연립,신곡동,435-3,1985-12-27,3,3,78,N,경기도 의정부시 신곡동 435-3,961218.342870897,1970711.34703001,127.05986107022359,37.73519666032638
의정부시,동화,의정부동,288,1995-11-30,26,1,414,Y,경기도 의정부시 의정부동 288,959392.033517535,1970154.10731995,127.03916573771262,37.73009503712176
의정부시,드림밸리,신곡동,758-1,2002-12-27,20,12,927,Y,경기도 의정부시 신곡동 758-1,961868.717852347,1972179.2636291,127.06716504506355,37.74845437767078
의정부시,드림타운(도시형),의정부동,167-16,2012-09-28,10,1,88,N,경기도 의정부시 의정부동 167-16,960092.345275935,1970530.16182057,127.04709226121528,37.73351522687067
의정부시,드림팰리스,호원2동,414-2,2021-07-01,10,1,36,N,경기도 의정부시 호원2동 414-2,960151.602489337,1969823.557145,127.04780347551073,37.727149157781675
의정부시,디베뉴스타,의정부동,166-4,2020-05-22,24,1,199,Y,경기도 의정부시 의정부동 166-4,960141.969271833,1970549.96042163,127.04765433693562,37.73369583458711
의정부시,라움M,의정부동,145-4외3,2018-05-29,19,1,125,N,경기도 의정부시 의정부동 145-4외3,960543.079065872,1971015.82527452,127.05218108169576,37.73791206815273
의정부시,럭스타워,의정부동,493-7,2019-07-31,19,1,170,Y,경기도 의정부시 의정부동 493-7,959642.564905317,1971000.42200424,127.04196178890855,37.737733967937835
의정부시,롯데캐슬골드파크1단지,의정부동,721,2018-11-21,27,10,919,Y,경기도 의정부시 의정부동 721,959146.33945526,1970058.96019488,127.03638294042386,37.72922654176786
의정부시,롯데캐슬골드파크2단지,의정부동,720,2018-11-21,27,11,931,Y,경기도 의정부시 의정부동 720,959079.042428938,1970303.35682888,127.03560550460045,37.731426286948334
의정부시,르네상스시티,호원동,468-4,2017-01-17,13,1,176,Y,경기도 의정부시 호원동 468-4,960111.143171253,1967283.69623858,127.04748361234925,37.70425549100484
의정부시,리버카운티,의정부1동,44581,2021-06-25,20,1,51,N,경기도 의정부시 의정부1동 44581,,,,
