시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
용인시,서원마을 3단지 아이파크,수지구상현동,860,2002-09-06,20,6,438,Y,경기도 용인시 수지구상현동 860,962810.129536527,1923329.16963445,127.0803250227127,37.308188705104264
용인시,서원마을 금호베스트빌 5단지,수지구상현동,867,2002-12-04,20,11,890,Y,경기도 용인시 수지구상현동 867,962636.600948585,1923168.81025941,127.0783749311272,37.30673631084851
용인시,서원마을 현대홈타운아파트,수지구상현동,31199,2001-02-17,20,6,462,Y,경기도 용인시 수지구상현동 31199,,,,
용인시,서천2차IPARK,기흥구서천동,755,2016-02-26,13,6,289,Y,경기도 용인시 기흥구서천동 755,962469.390622058,1915862.99046993,127.07685683799824,37.24087662603494
용인시,서천마을 1단지,기흥구서천동,736,2012-12-17,15,14,826,Y,경기도 용인시 기흥구서천동 736,962059.749595565,1915693.43617022,127.07224704672811,37.23933170251327
용인시,서천마을 4단지,기흥구서천동,823,2012-12-17,15,11,556,Y,경기도 용인시 기흥구서천동 823,962269.924939804,1915298.62514121,127.0746365812438,37.235781482929994
용인시,서천마을 휴먼시아 2단지(임대),기흥구서천동,743,2011-06-14,18,8,663,N,경기도 용인시 기흥구서천동 743,961970.356642066,1915561.33380549,127.07124596631347,37.23813731182549
용인시,서천마을 휴먼시아 3단지(임대),기흥구농서동,395,2011-05-17,20,10,980,N,경기도 용인시 기흥구농서동 395,961796.519474969,1915297.09797093,127.06929969145247,37.2357484274779
용인시,서홍마을 4단지(효성.현산),수지구신봉동,893,2004-01-10,20,6,388,Y,경기도 용인시 수지구신봉동 893,962976.483464258,1924681.66175735,127.08213474961313,37.32038631933106
용인시,서홍마을 벽산블루밍,수지구신봉동,876,2004-01-26,18,4,246,Y,경기도 용인시 수지구신봉동 876,963037.924226036,1925095.52800528,127.08280756159155,37.32411923177734
용인시,서홍마을 우남퍼스트빌,수지구신봉동,905,2004-01-14,20,11,962,Y,경기도 용인시 수지구신봉동 905,962813.336048816,1924652.33341268,127.08029490433276,37.32011544576351
용인시,서홍마을 한일아파트,수지구신봉동,874,2003-12-30,18,4,296,Y,경기도 용인시 수지구신봉동 874,962900.041764164,1925126.57526057,127.08124976170795,37.32439358496694
용인시,서홍마을 한화꿈에그린,수지구신봉동,880,2004-01-20,20,5,404,Y,경기도 용인시 수지구신봉동 880,962905.840714252,1925005.79345726,127.0813212533761,37.32330512628706
용인시,성남마을 벽산첼시빌2,수지구성복동,723,2002-10-31,18,14,951,Y,경기도 용인시 수지구성복동 723,961534.069845131,1924058.4673925,127.0658877002928,37.31471043256519
용인시,성동마을 LG빌리지 6차,수지구성복동,731,2003-03-26,20,14,956,Y,경기도 용인시 수지구성복동 731,961914.211137191,1924553.58863319,127.07015231067162,37.319188963122286
용인시,성동마을 LG빌리지1차,수지구성복동,155,2001-02-19,20,17,1164,Y,경기도 용인시 수지구성복동 155,962423.881932505,1924345.51720622,127.07591500142506,37.317334225801
용인시,성동마을 LG빌리지2차,수지구성복동,90,2001-03-03,20,8,758,Y,경기도 용인시 수지구성복동 90,962459.242961562,1923847.92043762,127.0763392493669,37.31285046624455
용인시,성동마을 LG빌리지3차,수지구성복동,726,2002-08-28,20,15,1234,Y,경기도 용인시 수지구성복동 726,962180.762581094,1924438.79196564,127.07316646551693,37.3181651109166
용인시,성동마을 강남빌리지,수지구성복동,84,2001-02-19,18,8,428,Y,경기도 용인시 수지구성복동 84,962581.971663558,1924000.97750738,127.07771653489706,37.31423502804354
용인시,성동마을 수지자이2차,수지구성복동,762,2010-09-27,20,10,500,Y,경기도 용인시 수지구성복동 762,961621.780789802,1924697.89410512,127.0668444747503,37.32047765206929
용인시,성동마을 수지자이아파트,수지구성복동,752,2006-05-30,20,12,680,Y,경기도 용인시 수지구성복동 752,961757.337881531,1924653.61024184,127.06837668197494,37.32008408182659
용인시,성림아트맨션,처인구고림동,"748-6, 748-11",1990-02-23,5,3,45,N,"경기도 용인시 처인구고림동 748-6, 748-11",,,,
용인시,성복역 롯데캐슬 골드타운,수지구성복동,789,2019-06-28,34,13,2356,Y,경기도 용인시 수지구성복동 789,963030.016165955,1923802.14988236,127.08278275007704,37.312460788464534
용인시,성복역 롯데캐슬 클라시엘,수지구성복동,819,2021-01-29,20,20,1094,Y,경기도 용인시 수지구성복동 819,,,,
용인시,성복역 롯데캐슬 파크나인1차,수지구성복동,814,2020-06-30,20,8,534,Y,경기도 용인시 수지구성복동 814,962307.889725994,1923669.95928447,127.07464025500852,37.311240249677724
용인시,성복역KCC스위첸,수지구성복동,167,2019-03-22,25,1,188,Y,경기도 용인시 수지구성복동 167,962165.78429838,1924107.84272304,127.07301429695364,37.315181425201686
용인시,성산마을 남광하우스토리,기흥구중동,869,2007-11-16,4,9,134,N,경기도 용인시 기흥구중동 869,969486.685505115,1919591.82573936,127.15581979153878,37.27474414887879
용인시,성산마을 서해그랑블,기흥구중동,860,2006-04-27,24,10,564,Y,경기도 용인시 기흥구중동 860,969401.671503854,1919207.41361515,127.15487669480967,37.27127632398993
용인시,성산마을 신영지웰,기흥구중동,870,2006-08-31,27,10,590,Y,경기도 용인시 기흥구중동 870,969402.368929188,1919763.09520874,127.1548616958731,37.27628517658186
용인시,성산마을 어울림 타운하우스,기흥구중동,863,2008-10-13,4,3,24,N,경기도 용인시 기흥구중동 863,969562.40986078,1919352.49126961,127.15668372005355,37.27258930400117
용인시,성산마을 어울림 타운하우스,기흥구중동,865,2008-10-13,4,3,24,N,경기도 용인시 기흥구중동 865,969312.094156461,1919325.93399952,127.15386146400041,37.27234169930483
용인시,성산마을 카운티스,기흥구중동,922,2006-10-26,4,8,96,N,경기도 용인시 기흥구중동 922,969799.075865249,1919441.20517743,127.15934951294787,37.27339666942163
용인시,성웅아파트,처인구유방동,181,1998-05-15,18,3,271,Y,경기도 용인시 처인구유방동 181,974010.373591264,1918736.95648454,127.20687472548794,37.26717579714318
용인시,성현마을 광명샤인빌죽전1차,수지구죽전동,1355,2005-02-03,15,3,192,Y,경기도 용인시 수지구죽전동 1355,967376.883194459,1925485.69673928,127.13176341926156,37.32779864846401
용인시,성현마을 반도유보라,수지구죽전동,1235,2004-06-30,23,8,637,Y,경기도 용인시 수지구죽전동 1235,966521.282439439,1925396.24303362,127.1221099706793,37.32696188670469
용인시,성현마을 우미이노스빌 죽전2차,수지구죽전동,1329,2004-12-20,15,8,538,Y,경기도 용인시 수지구죽전동 1329,966669.146715096,1925171.80293801,127.12378903751716,37.32494416101331
용인시,성현마을 주공3단지아파트,수지구죽전동,1233,2005-07-20,15,6,388,N,경기도 용인시 수지구죽전동 1233,966711.941950776,1925412.98673048,127.1242612403257,37.327119663386966
용인시,세원아파트,기흥구고매동,385-1,1993-05-01,16,2,320,Y,경기도 용인시 기흥구고매동 385-1,965391.538633203,1914764.57603841,127.10985323123712,37.231088811387735
용인시,세종그랑시아 1차,기흥구구갈동,270,1999-10-30,4,8,120,N,경기도 용인시 기흥구구갈동 270,,,,
용인시,세종그랑시아 2차,기흥구구갈동,273,1999-11-08,4,10,194,Y,경기도 용인시 기흥구구갈동 273,,,,
용인시,솔뫼마을 현대홈타운,기흥구보정동,1169,2001-12-20,13,7,382,Y,경기도 용인시 기흥구보정동 1169,964324.888525817,1923469.02489939,127.09741144525452,37.309508705713796
용인시,송전마을 세광엔리치아파트,처인구이동읍,1227,2010-04-30,19,13,782,Y,경기도 용인시 처인구이동읍 1227,,,,
용인시,송전빌라,처인구이동읍,192,1986-11-21,3,1,24,N,경기도 용인시 처인구이동읍 192,,,,
용인시,수원동마을 쌍용스윗닷홈 2단지(201-207),기흥구상하동,652,2004-11-23,20,7,465,Y,경기도 용인시 기흥구상하동 652,968181.289742604,1917518.10371018,127.14118431039155,37.25600820921332
용인시,수원동마을 쌍용아파트,기흥구상하동,621,2002-05-30,20,18,1342,Y,경기도 용인시 기흥구상하동 621,967937.840009608,1917646.66111206,127.13843346898148,37.25715865607057
용인시,수지 e편한세상 주상복합,수지구풍덕천동,1209,2017-08-25,30,15,1237,Y,경기도 용인시 수지구풍덕천동 1209,963259.051053767,1924153.30315769,127.08535002999196,37.315635068092696
용인시,수지 건영아파트,수지구풍덕천동,694,1995-02-24,16,3,190,Y,경기도 용인시 수지구풍덕천동 694,963352.430251013,1925398.93207226,127.08634232773397,37.326866486904315
용인시,수지 동도센트리움,수지구상현동,1203,2017-03-31,15,1,168,Y,경기도 용인시 수지구상현동 1203,963709.611166103,1923853.32534144,127.09044949854557,37.31294886026176
용인시,수지 동문아파트,수지구풍덕천동,690,1994-12-20,19,5,368,Y,경기도 용인시 수지구풍덕천동 690,963770.595925533,1925579.705553,127.09105341106927,37.328512331614945
용인시,수지 동보1차아파트,수지구풍덕천동,703,1995-04-07,17,5,470,Y,경기도 용인시 수지구풍덕천동 703,964398.460164647,1925242.53321996,127.0981565779709,37.32549744061895
용인시,수지 동보3차아파트,수지구풍덕천동,504-10,1999-03-26,20,1,279,Y,경기도 용인시 수지구풍덕천동 504-10,963393.774149636,1924319.59120141,127.08686224464253,37.317139258533516
용인시,수지 동보4차아파트,수지구풍덕천동,240-3,2000-04-28,18,3,174,Y,경기도 용인시 수지구풍덕천동 240-3,963445.542649446,1924219.59070411,127.08745141624652,37.316239921131654
용인시,수지 동부아파트,수지구풍덕천동,691,1995-07-31,17,6,612,Y,경기도 용인시 수지구풍덕천동 691,963935.11421373,1925472.90194588,127.09291559487961,37.327556039464305
용인시,수지 보원아파트,수지구풍덕천동,692,1994-12-22,15,5,619,Y,경기도 용인시 수지구풍덕천동 692,963735.883102332,1925353.94665348,127.09067263141442,37.326476053802885
용인시,수지 삼성 1차아파트,수지구풍덕천동,693,1994-12-20,18,6,576,Y,경기도 용인시 수지구풍덕천동 693,963538.156608958,1925333.24809172,127.08844188464978,37.326281741548975
용인시,수지 삼성2차아파트,수지구풍덕천동,692-1,1995-12-06,18,5,420,Y,경기도 용인시 수지구풍덕천동 692-1,963798.68859736,1925432.31363549,127.09137770008066,37.32718488062578
용인시,수지 삼성4차아파트,수지구풍덕천동,663-1,1994-12-20,15,9,1137,Y,경기도 용인시 수지구풍덕천동 663-1,964028.657434669,1925834.81313572,127.0939538897037,37.330821826598154
용인시,수지 삼익풍림동아 아파트,수지구풍덕천동,664,1994-12-20,15,12,1620,Y,경기도 용인시 수지구풍덕천동 664,964242.377422472,1925909.91093615,127.09636269406693,37.33150699010887
용인시,수지 성원아파트,수지구상현동,30,1997-12-20,20,19,1744,Y,경기도 용인시 수지구상현동 30,963887.790082688,1923856.37050941,127.09246011897271,37.31298325046724
용인시,수지 파크푸르지오,수지구풍덕천동,1223,2019-03-28,23,5,430,Y,경기도 용인시 수지구풍덕천동 1223,964417.292974229,1925425.12884678,127.09836038356018,37.327144026379806
용인시,수지 풍림2차아파트,수지구동천동,176-1,1998-12-31,23,2,271,Y,경기도 용인시 수지구동천동 176-1,964597.170487134,1927033.4768179,127.10031390186032,37.34164806688396
용인시,수지 한국아파트,수지구풍덕천동,699,1995-06-19,16,5,416,Y,경기도 용인시 수지구풍덕천동 699,964018.291336316,1925055.51393868,127.09387468827528,37.323797053002615
용인시,수지 한성아파트,수지구풍덕천동,698-2,1995-03-28,15,10,774,Y,경기도 용인시 수지구풍덕천동 698-2,963951.111464715,1925174.78120689,127.0931106505714,37.324869488335175
