시군명,공동주택구분,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부
고양시,,강촌마을 7단지,마두동,796,1993-06-29,22,14,702,Y
고양시,,강촌마을 8단지,마두동,794,1993-02-20,20,15,766,Y
고양시,,개나리아파트,성사동,415-0,1987-04-22,5,3,175,N
고양시,,고양 원당 줌시티,주교동,611-1,2020-10-21,15,1,264,Y
고양시,,고양삼송 동일스위트 1차,신원동,959,2017-06-01,29,8,968,Y
고양시,,고양향동엘에이치1아파트,향동동,407,2019-11-25,21,4,832,N
고양시,,고양향동엘에이치3아파트,향동동,405,2020-10-05,23,10,1059,Y
고양시,,국민주택,일산동,586-12,1984-11-29,3,2,24,N
고양시,,그린빌(시공사여지종합건설),토당동,861-1외1,2001-11-22,9,1,34,N
고양시,,금강KCC,토당동,80,2004-06-07,25,6,380,Y
고양시,,금산주택,주교동,564-0,1986-05-02,3,1,20,N
고양시,,금호프라자,토당동,282-2,2000-05-22,14,1,86,N
고양시,,낙원그린빌라,식사동,621-10,1986-05-22,3,2,60,N
고양시,,남해빌라,주교동,557-0,1985-08-14,3,1,24,N
고양시,,내안애양우,토당동,250,2005-06-03,23,5,296,Y
고양시,,네이처,가좌동,158-2,2021-01-04,4,1,78,N
고양시,,달빛마을1,화정동,858,1995-11-27,20,20,1784,Y
고양시,,달빛마을2(라이프212동~),화정동,851,1996-09-10,20,11,1391,Y
고양시,,달빛마을2(부영~211동),화정동,851,1996-07-22,20,11,1391,Y
고양시,,달빛마을3,화정동,865,1995-12-12,20,11,856,Y
고양시,,달빛마을4,화정동,868,1995-08-24,18,4,300,Y
고양시,,대기APT,주교동,554-0,1986-08-01,5,1,50,N
고양시,,대당맨숀,주교동,558-0,1984-11-19,3,2,42,N
고양시,,대당연립주택,토당동,434-3,1981-12-08,3,3,36,N
고양시,,대림1차(능곡대림),토당동,860외7,1996-02-24,15,3,204,Y
고양시,,대림2차(고양대림),토당동,259,1997-07-28,15,8,640,Y
고양시,,대영아파트,주교동,574-1,1985-11-28,5,1,40,N
고양시,,대화마을1단지(LG),대화동,1499외 1,2002-05-23,16,6,329,Y
고양시,,대화마을2단지(한라),대화동,1580,2002-08-01,20,6,460,Y
고양시,,대화마을3단지(동문),대화동,2573,2002-10-18,20,8,706,Y
고양시,,"대화마을5,6단지(일신건영)",대화동,2570외 1,2003-08-04,20,14,1255,Y
고양시,,대화마을7단지(양우),대화동,2579,2003-06-26,20,8,655,Y
