역 이름,위도,경도,역 주소
지행역, 		37.888934496805554, 127.05609966930655, 경기도 동두천시 평화로 2285
동두천중앙역,	37.89684121990983, 127.04717166752741, 경기도 동두천시 동두천로 228
보산역,		37.908131846187594, 127.046395502648, 경기도 동두천시 평화로 2539
동두천역,		37.92757409999966, 127.05066545393781, 경기도 동두천시 평화로 2687
소요산역,		37.948747199999715, 127.05686495393748, 경기도 동두천시 평화로 2925
