철도운영기관명,선명,역명,지번주소,도로명주소
코레일,4호선,경마공원,경기도 과천시 과천동 654,경기도 과천시 경마공원대로 105
코레일,4호선,고잔,경기도 안산시 단원구 고잔동 453-67,경기도 안산시 단원구 중앙대로 784
코레일,4호선,과천,경기도 과천시 별양동 2,경기도 과천시 별양로  177
코레일,4호선,금정,경기도 군포시 금정동 613 금정역,경기도 군포시 군포로 750(금정동)
코레일,4호선,대공원,경기도 과천시 과천동 727-1,경기도 과천시 대공원대로 50
코레일,4호선,대야미,군포시 대야1로28번,군포시 대야1로 28번
코레일,4호선,반월,경기도 안산시 상록구 건건동 산62-1,경기도 안산시 상록구 건건로 119-10
코레일,4호선,범계,경기도 안양시 동안구 호계동 1039-2,경기도 안양시 동안구 동안로  130
코레일,4호선,산본,경기도 군포시 산본동 1231번지,경기도 군포시 번영로 504 (산본동)
코레일,4호선,상록수,경기도 안산시 상록구 본오동 1177,경기도 안산시 상록수 상록수로 61
코레일,4호선,선바위,경기도 과천시 과천동 355,경기도 과천시 중앙로 440
코레일,4호선,수리산,경기도 군포시 산본동 1231-1,경기도 군포시 번영로 385
코레일,4호선,신길온천,경기도 안산시 단원구 신길동 216-2,경기도 안산시 단원구 황고개로 2
코레일,4호선,안산,경기도 안산시 단원구 원곡동 377-2,경기도 안산시 단원구 중앙대로 462
코레일,4호선,오이도,경기도 시흥시 정왕동 878,경기도 시흥시 역전로 430  
코레일,4호선,인덕원,경기도 안양시 동안구 관양2동 1566,경기도 안양시 동안구 흥안대로 529
코레일,4호선,정부과천청사,경기도 과천시 별양동 1,경기도 과천시 중앙로  100(별양동)
코레일,4호선,정왕,경기도 시흥시 정왕동 2324-2,경기도 시흥시 마유로 418번길 15
코레일,4호선,중앙,경기도 안산시 단원구 고잔동 167-378 중앙역,경기도 안산시 단원구 중앙대로 918
코레일,4호선,초지,경기도 안산시 단원구 초지동 25-1,경기도 안산시 단원구 중앙대로 620
코레일,4호선,평촌,경기도 안양시 동안구 관양동 1608-1,경기도 안양시 동안구 부림로  123
코레일,4호선,한대앞,경기도 안산시 상록구 이동 211-5,경기도 안산시 상록구 충장로 337
서울교통공사,4호선,길음,서울특별시 성북구 길음동 877-66 길음역(4호선),서울특별시 성북구 동소문로 248(길음동)
서울교통공사,4호선,남태령,서울특별시 서초구 방배동 2909 남태령역(4호선),서울특별시 서초구 과천대로 816(방배동)
서울교통공사,4호선,노원,서울특별시 노원구 상계동 602-5 노원역(4호선),서울특별시 노원구 상계로 69-1(상계동)
서울교통공사,4호선,당고개,서울특별시 노원구 상계동 111 당고개역(4호선),서울특별시 노원구 상계로 305(상계동)
서울교통공사,4호선,동대문,서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 율곡로 308(종로6가)
서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),서울특별시 중구 장충단로 230(광희동2가)
서울교통공사,4호선,동작(현충원),서울특별시 동작구 동작동 327-1 동작역(4호선),서울특별시 동작구 현충로 257(동작동)
서울교통공사,4호선,명동,서울특별시 중구 충무로2가 109-2 명동역(4호선),서울특별시 중구 퇴계로 126(충무로2가)
서울교통공사,4호선,미아,서울특별시 강북구 미아동 194-1 미아역(4호선),서울특별시 강북구 도봉로 198(미아동)
서울교통공사,4호선,미아사거리,서울특별시 강북구 미아동 66-1 미아사거리역(4호선),서울특별시 강북구 도봉로 50(미아동)
서울교통공사,4호선,사당,서울특별시 동작구 사당동 588-44 사당역(4호선),서울특별시 동작구  동작대로 3(사당동)
서울교통공사,4호선,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),서울특별시 용산구 한강대로 180(한강로1가)
서울교통공사,4호선,상계,서울특별시 노원구 상계동 156-203 상계역(4호선),서울특별시 노원구 상계로 182(상계동)
서울교통공사,4호선,서울역,서울특별시 용산구 동자동 14-151 서울역 (4호선),서울특별시 용산구 한강대로 392(동자동)
서울교통공사,4호선,성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),서울특별시 성북구 동소문로 102(동선동4가)
서울교통공사,4호선,수유(강북구청),서울특별시 강북구 수유동 140 수유역(4호선),서울특별시 강북구 도봉로 338(수유동)
