철도운영기관명,선명,역명,지번주소,도로명주소
코레일,3호선,대곡,경기도 고양시 대장동 426-2,경기도 교양시 대주로 107번길 71-81
코레일,3호선,대화,경기도 고양시 일산서구 대화동 2221,경기 고양시 일산서구 중앙로 1569
코레일,3호선,마두,경기도 고양시 일산동구 마두동 765-1,경기도 고양시 일산동구 중앙로  1180
코레일,3호선,백석,경기도 고양시 일산동구 백석동 1538,경기도 고양시 일산동구 중앙로 1042 (백석동) 백석역
코레일,3호선,삼송,경기도 고양시 덕양구 삼송동 18-5,경기도 고양시 덕양구 삼송로 194 삼송역
코레일,3호선,원당,경기도 고양시 덕양구 성사동 410-7,경기도 고양시 덕양구 고양대로 1429 원당역
코레일,3호선,원흥,경기도 고양시 덕양구 원흥동143-1,"경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역"
코레일,3호선,정발산,경기도 고양시 일산동구 마두동 1123,경기도 고양시 일산동구 중앙로 1270  
코레일,3호선,주엽,경기도 고양시 일산 서구,"경기도 고양시 일산서구 중앙로 1432 (주엽동, 주엽역) 주엽역"
코레일,3호선,화정,경기도 고양시 덕양구 화정동 1098,경기도 고양시 덕양구 화정로 60
서울교통공사,3호선,가락시장,서울특별시 송파구 가락동 184-23 가락시장역(3호선),서울특별시 송파구 송파대로 257(가락동)
서울교통공사,3호선,경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 경복궁역(3호선),서울특별시 종로구 사직로 130(적선동)
서울교통공사,3호선,경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역(3호선),서울특별시 송파구 중대로 149(가락동)
서울교통공사,3호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),서울특별시 서초구 신반포로 188(반포동)
서울교통공사,3호선,교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(3호선),서울특별시 서초구 서초대로 294(서초동)
서울교통공사,3호선,구파발,서울특별시 은평구 진관동 67-26 구파발역(3호선),서울특별시 은평구 진관2로 15-25 (진관동)
서울교통공사,3호선,금호,서울특별시 성동구 금호동4가 1470 금호역(3호선),서울특별시 성동구 동호로 104(금호동4가)
서울교통공사,3호선,남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),서울특별시 서초구 서초중앙로 31(서초동)
서울교통공사,3호선,녹번,서울특별시 은평구 녹번동 55 녹번역(3호선),서울특별시 은평구 통일로 602-1(녹번동)
서울교통공사,3호선,대청,서울특별시 강남구 일원동 700-9 대청역(3호선),서울특별시 강남구 일원로 2(일원동)
서울교통공사,3호선,대치,서울특별시 강남구 대치동 317-3 대치역(3호선),서울특별시 강남구 남부순환로 2952(대치동)
서울교통공사,3호선,도곡,서울특별시 강남구 도곡동 339-2 도곡역(3호선),서울특별시 강남구 남부순환로 2814(도곡동)
서울교통공사,3호선,독립문,서울특별시 서대문구 현저동 101 독립문역(3호선),서울특별시 서대문구 통일로 247(현저동)
서울교통공사,3호선,동대입구,서울특별시 중구 장충동2가 199-3 동대입구역(3호선),서울특별시 중구 동호로 256(장충동2가)
서울교통공사,3호선,매봉,서울특별시 강남구 도곡동 179-2 매봉역(3호선),서울특별시 강남구 남부순환로 2744(도곡동)
