지역,단지,세대수,주소,위도,경도,name1,name2
의정부시,고산 더 라피니엘,293,경기도 의정부시 서광로 101,37.72682002,127.1086807,의정부시,
의정부시,정음마을 고산1단지,500,경기도 의정부시 입암로 14,37.74323161,127.1176169,의정부시,
의정부시,양지마을10단지,812,경기도 의정부시 용민로 373-17,37.75557883,127.1088022,의정부시,
이천시,이천마장 행복주택 3단지,290,경기도 이천시 마장면 양촌로30번길 29,37.25594966,127.3562798,이천시,
파주시,가람마을,580,경기도 파주시 소리천로 203,37.73036766,126.7681648,파주시,
파주시,초롱꽃마을11단지,242,경기도 파주시 양지로 112,37.70817011,126.7213921,파주시,
파주시,파주법원,250,경기도 파주시 법원읍 법원로 12,37.84718409,126.8776337,파주시,
파주시,파주출판 C76BL,280,경기도 파주시 문발로 430,37.73169423,126.6923255,파주시,
파주시,노을빛마을 16단지,320,경기도 파주시 노을빛로 41,37.72692207,126.7067456,파주시,
파주시,초롱꽃마을3단지,1207,경기도 파주시 초롱꽃로 17,37.71424918,126.7082586,파주시,
파주시,산내마을,1700,경기도 파주시 교하로 20,37.73314793,126.7333745,파주시,
파주시,파주운정3 A25BL(초롱꽃10),1000,경기도 파주시 숲속노을로 60,37.70843444,126.7198261,파주시,
평택시,고덕LH17단지,298,경기도 평택시 고덕여염로 20,37.03732317,127.046112,평택시,
평택시,평택고덕 A-6블록 행복주택(LH2단지),1600,경기도 평택시 고덕국제대로 232,37.05771477,127.0453992,평택시,
평택시,소사벌 배다리마을5단지,840,경기도 평택시 죽백4로 60,37.00510375,127.1236044,평택시,
평택시,평택고덕 A-7블록 신혼희망타운 행복주택,295,경기도 평택시 고덕국제대로 202,37.05648708,127.045345,평택시,
평택시,청북LHB12단지,326,경기도 평택시 청북읍 안청로1길 21,37.0142245,126.9142144,평택시,
포천시,non,0,non,0,0,포천시,
하남시,하남감일 스윗시티 행복주택 6단지,672,경기도 하남시 감일순환로 130,37.51224765,127.1601158,하남시,
하남시,위례A3-3bBL 행복주택,167,경기도 하남시 위례학암로 30,37.48683254,127.1584503,하남시,
하남시,하남감일 7단지(행복주택) A2블록,425,경기도 하남시 감일순환로 140,37.51154974,127.1598485,하남시,
하남시,하남감일 A7BL 행복주택,170,경기도 하남시 감일순환로 40,37.50807533,127.1638901,하남시,
하남시,위례A3-3bBL 행복주택,1,경기도 하남시 위례학암로 30,37.48684153,127.1584672,하남시,
하남시,미사강변도시C3단지,1492,경기도 하남시 미사강변한강로 290,37.56356427,127.195845,하남시,
화성시,"화성봉담2(LH4단지)(행복,임대상가)",602,경기도 화성시 봉담읍 상리3길 111,37.22908611,126.9511967,화성시,
화성시,엘크루 루엘리안,152,경기도 화성시 봉담읍 상리2길 121,37.22914152,126.9440525,화성시,
화성시,"화성남양뉴타운(LH6단지)(행복,임대상가)",410,경기도 화성시 남양읍 남양로862번길 16,37.21252257,126.8342728,화성시,
화성시,남양뉴타운 B-9블록 행복주택,880,경기도 화성시 남양읍 남양중앙로 420,37.20276466,126.8411824,화성시,
화성시,화성동탄2 A57-1블록 행복주택,850,경기도 화성시 동탄신리천로8길 15,37.17563698,127.1422587,화성시,
화성시,화성상리 1블록 행복주택,450,경기도 화성시 봉담읍 삼천병마로 1256-13,37.17563701,127.1422305,화성시,
화성시,화성비봉 A-2블록 행복주택,440,경기도 화성시 비봉면 새비봉동로 17,37.24260609,126.8765611,화성시,
화성시,"화성발안(1단지)(행복,임대상가)",608,경기도 화성시 향남읍 발안공단로 92-12,37.08763174,126.9097846,화성시,
화성시,화성동탄2 A4-1블럭(2단지)(행복),1640,경기도 화성시 동탄영천로 108-21,37.2134656,127.105439,화성시,
화성시,디루체,390,경기도 화성시 동탄신리천로2길 65,37.17530994,127.12883,화성시,
화성시,"화성향남2(20단지)(행복,임대상가)",99,경기도 화성시 향남읍 벌말길 24,37.1122657,126.9025547,화성시,
화성시,화성동탄2 C26블럭(26단지)(행복),608,경기도 화성시 동탄기흥로277번길 12,37.18566182,127.091368,화성시,
화성시,남양뉴타운 B-10블록 행복·국민·영구임대주택,696,경기도 화성시 남양읍 남양중앙로 419,37.20393186,126.841439,화성시,
화성시,화성동탄2 지원6-2블록 지역전략산업지원주택,280,경기도 화성시 동탄첨단산업1로 57,37.21461713,127.0913522,화성시,
화성시,화성동탄2 A82블럭(28단지)(행복),820,경기도 화성시 동탄순환대로2길 13,37.16353397,127.0944712,화성시,
화성시,화성동탄2 A77-1블럭(35단지)(행복),900,경기도 화성시 동탄순환대로10길 42,37.16632494,127.1216991,화성시,
화성시,병점복합타운A1행복주택,862,경기도 화성시 병점노을1로 14,37.20236685,127.0314784,화성시,
