군집,학습 데이터의 실제값 평균,테스트 데이터의 예측값 평균,증가비율
A,352.6742,396.6948,1.1248
B,9.161,9.5911,1.0469
C,0.0,0.0,
D,316.1648,344.5137,1.0897
E,181.8502,200.1804,1.1008
F,0.0,0.0,
G,189.824,220.5091,1.1617
